STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4
A2R001Q01,90240,03/12/2003,8.878,56.614,0.055,0.063,0.157,0.5358,0.0087
A2R001Q01,90240,03/12/2003,7.92,59.615,0.237,0.086,0.015,0.5463,0.0008
A2R001Q01,90240,03/12/2003,8.111,52.788,0.826,0.046,0.015,0.5203,0.0008
A2R001Q01,90240,07/01/2004,7.891,53.797,0.055,0.029,0.015,0.5446,0.0008
A2R001Q01,90240,07/01/2004,7.919,51.555,0.111,0.048,0.015,0.5267,0.0008
A2R001Q01,90240,07/01/2004,8.451,53.82,0.055,0.039,0.015,0.5988,0.0008
A2R001Q01,90240,07/01/2004,8.522,53.501,0.055,0.066,0.015,0.5798,0.0008
A2R001Q01,90240,07/01/2004,8.868,53.826,0.055,0.041,0.015,0.5833,0.0008
A2R001Q01,90240,07/01/2004,8.812,52.533,0.055,0.049,0.152,0.5667,0.0084
A2R001Q01,90240,07/01/2004,7.802,52.224,0.055,0.012,0.015,0.5036,0.0008
A2R001Q01,90240,07/01/2004,7.637,47.874,0.193,0.042,0.015,0.4553,0.0008
A2R001Q01,90240,21/01/2004,8.254,55.976,0.055,0.043,0.166,0.4304,0.0092
A2R001Q01,90240,21/01/2004,7.9,54.917,0.055,0.043,0.169,0.4077,0.0094
A2R001Q01,90240,21/01/2004,8.827,55.557,0.055,0.036,0.154,0.5171,0.0086
A2R001Q01,90240,21/01/2004,8.771,54.776,0.055,0.033,0.054,0.4922,0.003
A2R001Q01,90240,21/01/2004,8.514,53.148,0.055,0.029,0.015,0.5097,0.0008
A2R001Q01,90240,21/01/2004,8.757,53.228,0.055,0.046,0.255,0.5018,0.0142
A2R001Q01,90240,21/01/2004,7.863,53.116,0.055,0.012,0.015,0.4998,0.0008
A2R001Q01,90240,21/01/2004,7.897,51.115,0.707,0.048,0.015,0.5521,0.0008
A2R001Q01,90240,04/02/2004,9.59,51.263,0.055,0.044,0.015,0.5159,0.0008
A2R001Q01,90240,04/02/2004,8.693,53.678,0.055,0.046,0.243,0.5134,0.0135
A2R001Q01,90240,04/02/2004,9.157,55.944,0.055,0.034,0.015,0.5356,0.0008
A2R001Q01,90240,04/02/2004,9.046,57.704,0.055,0.035,0.015,0.4782,0.0008
A2R001Q01,90240,04/02/2004,9.181,51.554,0.055,0.025,0.015,0.5386,0.0008
A2R001Q01,90240,04/02/2004,8.754,57.067,0.46,0.058,0.042,0.5191,0.0023
A2R001Q01,90240,04/02/2004,8.376,52.46,0.412,0.101,0.48,0.4566,0.0267
A2R001Q01,90240,04/02/2004,8.651,50.532,0.055,0.117,0.896,0.4381,0.0498
A2R001Q01,90240,18/02/2004,7.889,46.252,0.055,0.075,0.015,0.54,0.0008
A2R001Q01,90240,18/02/2004,8.64,51.389,0.055,0.181,0.015,0.4046,0.0008
A2R001Q01,90240,18/02/2004,9.203,49.931,0.055,0.044,0.015,0.5724,0.0008
A2R001Q01,90240,18/02/2004,9.254,49.781,0.055,0.052,0.015,0.5636,0.0008
A2R001Q01,90240,18/02/2004,8.608,51.91,0.055,0.077,0.015,0.5473,0.0008
A2R001Q01,90240,18/02/2004,8.339,49.554,0.47,0.09,0.284,0.5332,0.0158
A2R001Q01,90240,18/02/2004,8.171,47.064,0.055,0.186,1.267,0.4843,0.0704
A2R001Q01,90240,18/02/2004,9.09,46.91,1.592,0.247,0.015,0.411,0.0008
A2R001Q01,90240,03/03/2004,9.173,46.106,0.055,0.044,0.049,0.5236,0.0027
A2R001Q01,90240,03/03/2004,9.129,46.504,0.055,0.043,0.053,0.471,0.0029
A2R001Q01,90240,03/03/2004,9.36,49.217,0.055,0.047,0.015,0.5586,0.0008
A2R001Q01,90240,03/03/2004,9.114,48.996,0.055,0.041,0.015,0.5581,0.0008
A2R001Q01,90240,03/03/2004,7.947,48.312,0.055,0.08,0.015,0.426,0.0008
A2R001Q01,90240,03/03/2004,8.285,46.431,0.559,0.09,0.165,0.4624,0.0092
A2R001Q01,90240,03/03/2004,8.178,45.245,0.169,0.174,1.175,0.4434,0.0653
A2R001Q01,90240,03/03/2004,8.032,40.317,0.159,0.244,1.941,0.3922,0.1078
A2R001Q01,90240,17/03/2004,7.233,49.957,0.162,0.041,0.015,0.4942,0.0008
A2R001Q01,90240,17/03/2004,7.147,47.527,1.06,0.108,0.02,0.4535,0.0011
A2R001Q01,90240,17/03/2004,7.906,48.934,0.717,0.066,0.015,0.5006,0.0008
A2R001Q01,90240,17/03/2004,8.016,48,0.939,0.073,0.015,0.4773,0.0008
A2R001Q01,90240,31/03/2004,8.048,44.679,0.055,0.181,0.015,0.4809,0.0008
A2R001Q01,90240,31/03/2004,8.939,41.712,0.055,0.17,0.052,0.482,0.0029
A2R001Q01,90240,31/03/2004,8.071,41.712,0.055,0.189,0.015,0.4876,0.0008
A2R001Q01,90240,31/03/2004,8.432,46.332,0.055,0.106,0.015,0.4414,0.0008
A2R001Q01,90240,31/03/2004,7.824,45.338,0.055,0.178,0.739,0.4944,0.0411
A2R001Q01,90240,31/03/2004,8.17,43.75,0.055,0.126,0.015,0.4639,0.0008
A2R001Q01,90240,31/03/2004,8.036,35.154,1.148,0.298,1.899,0.44,0.1055
A2R001Q01,90240,31/03/2004,8.087,38.535,1.066,0.191,1.132,0.4537,0.0629
A2R001Q01,90240,29/04/2004,8.305,43.791,0.886,0.069,0.015,0.4948,0.0008
A2R001Q01,90240,29/04/2004,8.274,47.945,0.842,0.078,0.015,0.5478,0.0008
A2R001Q01,90240,29/04/2004,8.607,42.618,0.826,0.093,0.043,0.4925,0.0024
A2R001Q01,90240,29/04/2004,8.253,44.672,0.848,0.083,0.064,0.4889,0.0036
A2R001Q01,90240,29/04/2004,8.232,45.552,0.864,0.083,0.074,0.5015,0.0041
A2R001Q01,90240,29/04/2004,8.223,42.575,0.885,0.087,0.079,0.4837,0.0044
A2R001Q01,90240,29/04/2004,8.388,43.586,0.886,0.097,0.106,0.4871,0.0059
A2R001Q01,90240,29/04/2004,8.058,50.002,1.214,0.031,0.267,0.5407,0.0148
A2R001Q01,90240,26/05/2004,7.882,44.54,0.882,0.033,0.015,0.4723,0.0008
A2R001Q01,90240,26/05/2004,7.525,42.104,1.14,0.071,0.547,0.4408,0.0304
A2R001Q01,90240,26/05/2004,8.201,43.344,1.424,0.057,0.385,0.4631,0.0214
A2R001Q01,90240,26/05/2004,8.049,40.04,1.255,0.058,0.169,0.4552,0.0094
A2R001Q01,90240,26/05/2004,8.09,45.163,1.196,0.056,0.217,0.4123,0.0121
A2R001Q01,90240,26/05/2004,8.156,45.478,1.18,0.05,0.191,0.4009,0.0106
A2R001Q01,90240,26/05/2004,8.204,43.801,1.2,0.056,0.153,0.467,0.0085
A2R001Q01,90240,26/05/2004,8.137,43.19,1.272,0.062,0.214,0.4701,0.0119
A2R001Q01,90240,09/06/2004,7.98,46.439,1.473,0.012,0.053,0.5486,0.0029
A2R001Q01,90240,09/06/2004,7.685,47.044,0.055,0.012,0.015,0.5258,0.0008
A2R001Q01,90240,09/06/2004,8.011,46.562,1.297,0.082,0.064,0.468,0.0036
A2R001Q01,90240,09/06/2004,8.024,48.003,1.326,0.044,0.052,0.4715,0.0029
A2R001Q01,90240,09/06/2004,7.389,46.712,0.055,0.028,0.015,0.474,0.0008
A2R001Q01,90240,09/06/2004,8.239,46.52,1.309,0.045,0.068,0.4728,0.0038
A2R001Q01,90240,09/06/2004,7.965,43.579,0.85,0.078,0.015,0.5219,0.0008
A2R001Q01,90240,09/06/2004,7.649,46.254,0.548,0.012,0.015,0.5272,0.0008
A2R001Q01,90240,05/07/2004,8.171,36.631,0.917,0.125,0.266,0.3753,0.0148
A2R001Q01,90240,06/07/2004,7.969,44.628,1.07,0.05,0.015,0.4984,0.0008
A2R001Q01,90240,06/07/2004,8.421,45.363,1.096,0.025,0.045,0.4922,0.0025
A2R001Q01,90240,06/07/2004,8.578,45.044,1.056,0.042,0.035,0.4838,0.0019
A2R001Q01,90240,06/07/2004,8.386,45.901,1.061,0.051,0.015,0.5148,0.0008
A2R001Q01,90240,06/07/2004,8.536,45.248,1.081,0.041,0.015,0.4887,0.0008
A2R001Q01,90240,06/07/2004,8.344,44.242,1.058,0.061,0.042,0.4951,0.0023
A2R001Q01,90240,06/07/2004,8.322,46.303,1.099,0.036,0.015,0.4868,0.0008
A2R001Q01,90240,06/07/2004,8.132,45.145,1.299,0.03,0.127,0.4898,0.0071
A2R001Q01,90240,21/07/2004,8.126,47.04,1.385,0.012,0.015,0.5248,0.0008
A2R001Q01,90240,21/07/2004,8.401,46.806,1.482,0.012,0.015,0.5628,0.0008
A2R001Q01,90240,21/07/2004,8.265,47.667,1.422,0.028,0.059,0.4687,0.0033
A2R001Q01,90240,21/07/2004,8.213,46.433,1.451,0.029,0.041,0.4573,0.0023
A2R001Q01,90240,21/07/2004,8.261,47.175,1.473,0.026,0.051,0.4588,0.0028
A2R001Q01,90240,21/07/2004,8.241,46.048,1.492,0.047,0.067,0.4665,0.0037
A2R001Q01,90240,21/07/2004,8.298,46.863,1.481,0.028,0.06,0.4666,0.0033
A2R001Q01,90240,21/07/2004,8.014,46.801,1.518,0.012,0.015,0.5227,0.0008
A2R001Q01,90240,04/08/2004,8.281,46.834,1.643,0.03,0.161,0.5097,0.0089
A2R001Q01,90240,04/08/2004,8.281,46.112,1.645,0.034,0.121,0.554,0.0067
A2R001Q01,90240,04/08/2004,8.111,48.127,1.679,0.012,0.087,0.5993,0.0048
A2R001Q01,90240,04/08/2004,7.995,47.312,1.482,0.012,0.102,0.5543,0.0057
A2R001Q01,90240,04/08/2004,8.135,47.063,1.442,0.012,0.126,0.5949,0.007
A2R001Q01,90240,04/08/2004,8.198,47.809,1.452,0.012,0.123,0.5424,0.0068
A2R001Q01,90240,04/08/2004,7.966,46.826,1.434,0.012,0.118,0.6108,0.0066
A2R001Q01,90240,04/08/2004,8.16,45.001,1.637,0.038,0.155,0.5838,0.0086
A2R001Q01,90240,30/08/2004,8.202,38.072,1.537,0.118,0.457,0.3616,0.0254
A2R001Q01,90240,01/09/2004,8.121,45.631,1.988,0.033,0.212,0.5247,0.0118
A2R001Q01,90240,01/09/2004,8.227,42.449,1.877,0.035,0.254,0.5625,0.0141
A2R001Q01,90240,01/09/2004,8.148,45.029,0.055,0.036,0.258,0.5923,0.0143
A2R001Q01,90240,01/09/2004,8.288,45.076,2.938,0.041,0.25,0.5948,0.0139
A2R001Q01,90240,01/09/2004,8.281,44.794,0.055,0.039,0.249,0.5916,0.0138
A2R001Q01,90240,01/09/2004,8.071,42.616,0.055,0.032,0.31,0.572,0.0172
A2R001Q01,90240,01/09/2004,8.065,42.959,1.458,0.034,0.458,0.5844,0.0254
A2R001Q01,90240,01/09/2004,8.272,43.411,1.405,0.027,0.456,0.5897,0.0253
A2R001Q01,90240,15/09/2004,7.993,49.749,2.15,0.041,0.165,0.5768,0.0092
A2R001Q01,90240,15/09/2004,8.147,48.112,2.079,0.065,0.163,0.5558,0.0091
A2R001Q01,90240,15/09/2004,8.117,48.166,2.259,0.058,0.176,0.512,0.0098
A2R001Q01,90240,15/09/2004,8.116,48.43,2.233,0.066,0.152,0.5138,0.0084
A2R001Q01,90240,15/09/2004,8.15,47.863,2.072,0.045,0.196,0.4974,0.0109
A2R001Q01,90240,15/09/2004,8.075,47.571,1.81,0.038,0.3,0.4815,0.0167
A2R001Q01,90240,15/09/2004,8.19,47.009,1.674,0.043,0.428,0.5111,0.0238
A2R001Q01,90240,15/09/2004,8.08,44.659,1.313,0.047,0.576,0.5516,0.032
A2R001Q01,90240,29/09/2004,8.138,47.161,2.126,0.046,0.247,0.557,0.0137
A2R001Q01,90240,29/09/2004,8.007,46.995,1.955,0.036,0.225,0.4876,0.0125
A2R001Q01,90240,29/09/2004,8.127,46.477,2.122,0.045,0.25,0.5494,0.0139
A2R001Q01,90240,29/09/2004,8.091,48.028,2.159,0.047,0.252,0.5767,0.014
A2R001Q01,90240,29/09/2004,8.069,46.668,2.138,0.04,0.268,0.5563,0.0149
A2R001Q01,90240,29/09/2004,8.003,46.941,2.019,0.037,0.267,0.5514,0.0148
A2R001Q01,90240,29/09/2004,8.004,45.364,1.788,0.044,0.431,0.5443,0.0239
A2R001Q01,90240,29/09/2004,7.955,44.73,1.422,0.041,0.549,0.4865,0.0305
A2R001Q01,90240,11/10/2004,8.021,38.709,1.157,0.07,0.064,0.3821,0.0036
A2R001Q01,90240,13/10/2004,8.132,47.486,1.973,0.028,0.128,0.527,0.0071
A2R001Q01,90240,13/10/2004,7.972,50.67,2.044,0.036,0.131,0.5154,0.0073
A2R001Q01,90240,13/10/2004,8.206,48.408,2.118,0.038,0.12,0.6497,0.0067
A2R001Q01,90240,13/10/2004,8.196,48.811,2.055,0.038,0.121,0.5766,0.0067
A2R001Q01,90240,13/10/2004,8.218,48.249,2.014,0.06,0.128,0.6276,0.0071
A2R001Q01,90240,13/10/2004,8.081,47.533,2.013,0.047,0.119,0.5986,0.0066
A2R001Q01,90240,13/10/2004,7.969,46.94,1.855,0.045,0.259,0.608,0.0144
A2R001Q01,90240,13/10/2004,8.042,45.629,1.512,0.059,0.592,0.5379,0.0329
A2R001Q01,90240,27/10/2004,8.532,47.557,1.85,0.029,0.015,0.5788,0.0008
A2R001Q01,90240,27/10/2004,8.126,50.424,2.034,0.025,0.043,0.5733,0.0024
A2R001Q01,90240,27/10/2004,8.5,49.707,2.14,0.03,0.035,0.5913,0.0019
A2R001Q01,90240,27/10/2004,8.446,49.91,2.135,0.036,0.032,0.5713,0.0018
A2R001Q01,90240,27/10/2004,8.206,50.397,2.186,0.036,0.047,0.591,0.0026
A2R001Q01,90240,27/10/2004,8.193,49.828,2.376,0.039,0.015,0.582,0.0008
A2R001Q01,90240,27/10/2004,8.122,49.95,1.87,0.041,0.206,0.6076,0.0114
A2R001Q01,90240,27/10/2004,7.832,49.173,1.673,0.047,0.363,0.5711,0.0202
A2R001Q01,90240,10/11/2004,8.755,48.018,1.81,0.012,0.045,0.5094,0.0025
A2R001Q01,90240,10/11/2004,8.896,50.087,1.772,0.025,0.031,0.5821,0.0017
A2R001Q01,90240,10/11/2004,8.59,49.491,1.785,0.024,0.015,0.5305,0.0008
A2R001Q01,90240,10/11/2004,8.724,49.023,1.807,0.012,0.015,0.5192,0.0008
A2R001Q01,90240,10/11/2004,8.632,49.336,1.816,0.045,0.033,0.5201,0.0018
A2R001Q01,90240,10/11/2004,7.99,46.863,1.992,0.05,0.201,0.5115,0.0112
A2R001Q01,90240,10/11/2004,7.953,47.17,1.7,0.056,0.269,0.518,0.0149
A2R001Q01,90240,10/11/2004,8.133,46.769,1.152,0.086,0.814,0.594,0.0452
A2R001Q01,90240,24/11/2004,8.46,50.314,1.608,0.045,0.054,0.5741,0.003
A2R001Q01,90240,24/11/2004,8.409,48.494,1.652,0.012,0.015,0.556,0.0008
A2R001Q01,90240,24/11/2004,8.408,51.045,1.579,0.012,0.043,0.5873,0.0024
A2R001Q01,90240,24/11/2004,8.768,50.829,1.536,0.024,0.015,0.5876,0.0008
A2R001Q01,90240,24/11/2004,8.671,50.759,1.581,0.03,0.049,0.5602,0.0027
A2R001Q01,90240,24/11/2004,8.228,51.532,1.778,0.012,0.104,0.567,0.0058
A2R001Q01,90240,24/11/2004,8.343,49.236,1.223,0.066,0.523,0.5581,0.0291
A2R001Q01,90240,24/11/2004,8.552,50.791,0.877,0.14,0.985,0.6477,0.0547
A2R001Q01,90240,08/12/2004,8.989,50.038,1.318,0.043,0.055,0.544,0.0031
A2R001Q01,90240,08/12/2004,8.878,48.642,1.178,0.048,0.054,0.6289,0.003
A2R001Q01,90240,08/12/2004,8.717,53.091,1.335,0.048,0.069,0.525,0.0038
A2R001Q01,90240,08/12/2004,9.036,52.35,1.297,0.046,0.069,0.5444,0.0038
A2R001Q01,90240,08/12/2004,8.874,49.381,1.305,0.043,0.059,0.5523,0.0033
A2R001Q01,90240,08/12/2004,8.418,49.546,1.561,0.071,0.19,0.5352,0.0106
A2R001Q01,90240,08/12/2004,8.26,51.937,1.077,0.095,0.614,0.5715,0.0341
A2R001Q01,90240,08/12/2004,8.212,47.645,0.712,0.165,0.898,0.5972,0.0499
A2R001Q01,90240,12/01/2005,9.217,45.309,0.307,0.051,0.055,0.4639,0.0031
A2R001Q01,90240,12/01/2005,9.256,44.761,0.196,0.045,0.015,0.5278,0.0008
A2R001Q01,90240,12/01/2005,8.376,50.893,0.239,0.046,0.047,0.5046,0.0026
A2R001Q01,90240,12/01/2005,9.326,46.52,0.305,0.041,0.02,0.503,0.0011
A2R001Q01,90240,12/01/2005,9.125,53.402,0.418,0.033,0.038,0.517,0.0021
A2R001Q01,90240,12/01/2005,8.048,45.853,0.976,0.105,0.416,0.4847,0.0231
A2R001Q01,90240,12/01/2005,8.024,53.285,0.663,0.146,0.872,0.486,0.0484
A2R001Q01,90240,12/01/2005,8.491,46.255,0.055,0.246,1.686,0.4874,0.0937
A2R001Q01,90240,26/01/2005,9.283,40.542,0.122,0.055,0.045,0.4614,0.0025
A2R001Q01,90240,26/01/2005,9.409,42.302,0.055,0.146,0.067,0.4696,0.0037
A2R001Q01,90240,26/01/2005,9.381,41.236,0.055,0.064,0.015,0.5268,0.0008
A2R001Q01,90240,26/01/2005,9.253,40.756,0.178,0.046,0.051,0.4918,0.0028
A2R001Q01,90240,26/01/2005,9.022,41.439,0.447,0.04,0.062,0.4836,0.0034
A2R001Q01,90240,26/01/2005,8.693,40.499,0.797,0.077,0.145,0.4589,0.0081
A2R001Q01,90240,26/01/2005,7.999,38.894,0.985,0.16,0.705,0.4526,0.0392
A2R001Q01,90240,26/01/2005,7.965,44.834,0.04,0.369,2.378,0.4311,0.1321
A2R001Q01,90240,09/02/2005,9.143,37.994,0.107,0.041,0.02,0.4958,0.0011
A2R001Q01,90240,09/02/2005,9.392,41.472,0.04,0.057,0.02,0.4608,0.0011
A2R001Q01,90240,09/02/2005,9.379,43.69,0.04,0.044,0.02,0.5496,0.0011
A2R001Q01,90240,09/02/2005,9.434,44.261,0.04,0.055,0.02,0.5354,0.0011
A2R001Q01,90240,09/02/2005,8.854,43.253,0.49,0.048,0.064,0.5185,0.0036
A2R001Q01,90240,09/02/2005,8.178,41.99,0.795,0.086,0.293,0.4936,0.0163
A2R001Q01,90240,09/02/2005,8.147,39.959,0.748,0.136,0.555,0.5429,0.0308
A2R001Q01,90240,09/02/2005,8.277,40.77,0.419,0.062,0.188,0.4623,0.0104
A2R001Q01,90240,23/02/2005,9.2,43.522,0.04,0.051,0.02,0.4945,0.0011
A2R001Q01,90240,23/02/2005,9.476,43.102,0.04,0.17,0.061,0.5019,0.0034
A2R001Q01,90240,23/02/2005,9.271,41.584,0.04,0.065,0.02,0.4805,0.0011
A2R001Q01,90240,23/02/2005,9.238,41.458,0.04,0.062,0.056,0.5086,0.0031
A2R001Q01,90240,23/02/2005,9.124,41.838,0.087,0.052,0.02,0.4805,0.0011
A2R001Q01,90240,23/02/2005,8.704,41.073,0.239,0.065,0.158,0.4729,0.0088
A2R001Q01,90240,23/02/2005,7.895,36.664,0.543,0.155,0.869,0.4561,0.0483
A2R001Q01,90240,23/02/2005,7.934,39.528,0.04,0.222,1.69,0.4434,0.0939
A2R001Q01,90240,09/03/2005,9.062,40.257,0.04,0.047,0.02,0.4784,0.0011
A2R001Q01,90240,09/03/2005,9.162,40.561,0.04,0.041,0.02,0.4655,0.0011
A2R001Q01,90240,09/03/2005,8.966,39.95,0.104,0.047,0.02,0.4883,0.0011
A2R001Q01,90240,09/03/2005,9.261,39.605,0.04,0.055,0.02,0.5067,0.0011
A2R001Q01,90240,09/03/2005,9.014,40.308,0.04,0.043,0.02,0.5053,0.0011
A2R001Q01,90240,09/03/2005,8.956,40.879,0.04,0.042,0.02,0.494,0.0011
A2R001Q01,90240,09/03/2005,8.125,38.364,0.244,0.127,0.63,0.4766,0.035
A2R001Q01,90240,09/03/2005,8.123,37.157,0.04,0.152,1.889,0.5251,0.1049
A2R001Q01,90240,23/03/2005,8.315,40.742,0.195,0.074,0.136,0.4837,0.0076
A2R001Q01,90240,23/03/2005,7.885,40.332,0.184,0.108,0.181,0.5219,0.0101
A2R001Q01,90240,23/03/2005,7.709,41.181,0.194,0.075,0.149,0.5032,0.0083
A2R001Q01,90240,23/03/2005,7.968,41.456,0.192,0.081,0.137,0.5013,0.0076
A2R001Q01,90240,23/03/2005,8.013,40.655,0.184,0.067,0.147,0.496,0.0082
A2R001Q01,90240,23/03/2005,8.15,40.998,0.185,0.079,0.172,0.4966,0.0096
A2R001Q01,90240,23/03/2005,8.227,41.383,0.212,0.111,0.192,0.4857,0.0107
A2R001Q01,90240,23/03/2005,7.604,40.375,0.624,0.168,0.951,0.4877,0.0528
A2R001Q01,90240,20/04/2005,8.583,40.529,0.367,0.055,0.02,0.4869,0.0011
A2R001Q01,90240,20/04/2005,8.431,45.33,0.425,0.037,0.02,0.5076,0.0011
A2R001Q01,90240,20/04/2005,8.718,40.703,0.352,0.041,0.02,0.4789,0.0011
A2R001Q01,90240,20/04/2005,8.666,40.178,0.35,0.036,0.02,0.4744,0.0011
A2R001Q01,90240,20/04/2005,8.582,41.365,0.396,0.037,0.02,0.484,0.0011
A2R001Q01,90240,20/04/2005,8.343,40.078,0.446,0.033,0.02,0.4769,0.0011
A2R001Q01,90240,20/04/2005,8.147,41.358,0.684,0.035,0.054,0.4785,0.003
A2R001Q01,90240,20/04/2005,7.77,45.132,1.113,0.053,0.534,0.4098,0.0297
A2R001Q01,90240,05/05/2005,7.928,39.946,0.753,0.028,0.02,0.5128,0.0011
A2R001Q01,90240,05/05/2005,7.088,42.755,0.04,0.076,9.098,0.5357,0.5054
A2R001Q01,90240,05/05/2005,8.035,39.883,0.757,0.053,0.407,0.5199,0.0226
A2R001Q01,90240,05/05/2005,8.029,40.594,0.735,0.057,0.072,0.5038,0.004
A2R001Q01,90240,05/05/2005,8.238,39.8,0.784,0.029,0.066,0.5422,0.0037
A2R001Q01,90240,05/05/2005,8.176,40.294,0.787,0.032,0.075,0.4758,0.0042
A2R001Q01,90240,05/05/2005,8.145,40.247,0.787,0.006,0.076,0.509,0.0042
A2R001Q01,90240,05/05/2005,7.868,43.871,1.109,0.045,0.278,0.4706,0.0154
A2R001Q01,90240,18/05/2005,7.803,40.061,0.746,0.019,0.02,0.4603,0.0011
A2R001Q01,90240,18/05/2005,7.323,40.055,0.534,0.071,0.02,0.5228,0.0011
A2R001Q01,90240,18/05/2005,8.309,40.285,0.805,0.039,0.02,0.4484,0.0011
A2R001Q01,90240,18/05/2005,8.31,40.289,0.787,0.044,0.02,0.4893,0.0011
A2R001Q01,90240,18/05/2005,8.296,40.77,0.813,0.046,0.02,0.4661,0.0011
A2R001Q01,90240,18/05/2005,8.325,40.077,0.826,0.045,0.02,0.4824,0.0011
A2R001Q01,90240,18/05/2005,8.325,40.558,0.843,0.08,0.02,0.475,0.0011
A2R001Q01,90240,18/05/2005,7.107,40.27,0.916,0.05,0.057,0.4878,0.0032
A2R001Q01,90240,01/06/2005,8.092,41.909,1.095,0.023,0.081,0.4509,0.0045
A2R001Q01,90240,01/06/2005,7.603,43.927,0.64,0.028,0.02,0.5393,0.0011
A2R001Q01,90240,01/06/2005,8.146,42.571,1.1,0.023,0.02,0.4683,0.0011
A2R001Q01,90240,01/06/2005,8.145,42.298,1.05,0.029,0.072,0.4766,0.004
A2R001Q01,90240,01/06/2005,8.062,42.543,1.004,0.018,0.02,0.4745,0.0011
A2R001Q01,90240,01/06/2005,8.055,42.48,1.081,0.021,0.02,0.4588,0.0011
A2R001Q01,90240,01/06/2005,8.1,41.608,1.081,0.027,0.055,0.4663,0.0031
A2R001Q01,90240,01/06/2005,8.061,43.298,0.921,0.037,0.182,0.5039,0.0101
A2R001Q01,90240,15/06/2005,7.949,41.952,1.191,0.016,0.072,0.5643,0.004
A2R001Q01,90240,15/06/2005,7.983,41.505,1.126,0.02,0.206,0.5052,0.0114
A2R001Q01,90240,15/06/2005,7.807,41.284,1.071,0.017,0.02,0.4207,0.0011
A2R001Q01,90240,15/06/2005,7.853,41.842,1.162,0.021,0.183,0.4278,0.0102
A2R001Q01,90240,15/06/2005,8.001,41.992,1.198,0.023,0.211,0.436,0.0117
A2R001Q01,90240,15/06/2005,7.95,41.955,1.145,0.022,0.216,0.4346,0.012
A2R001Q01,90240,15/06/2005,7.983,41.731,1.157,0.022,0.205,0.422,0.0114
A2R001Q01,90240,15/06/2005,8.037,43.273,0.941,0.021,0.228,0.557,0.0127
A2R001Q01,90240,29/06/2005,8.126,42.868,1.174,0.032,0.284,0.5995,0.0158
A2R001Q01,90240,29/06/2005,7.962,40.953,1.233,0.023,0.297,0.4284,0.0165
A2R001Q01,90240,29/06/2005,8.07,43.789,1.178,0.02,0.285,0.5018,0.0158
A2R001Q01,90240,29/06/2005,7.942,43.588,1.2,0.017,0.275,0.4959,0.0153
A2R001Q01,90240,29/06/2005,7.827,43.813,1.224,0.02,0.689,0.5085,0.0383
A2R001Q01,90240,29/06/2005,8.046,43.688,1.217,0.021,0.27,0.5006,0.015
A2R001Q01,90240,29/06/2005,7.87,43.525,1.206,0.019,0.297,0.4987,0.0165
A2R001Q01,90240,29/06/2005,8.009,44.976,1.227,0.04,0.321,0.491,0.0178
A2R001Q01,90240,13/07/2005,7.885,43.838,1.464,0.049,0.259,0.5024,0.0144
A2R001Q01,90240,13/07/2005,8.042,45.068,1.462,0.032,0.262,0.5348,0.0146
A2R001Q01,90240,13/07/2005,8.2,43.208,1.45,0.032,0.248,0.4872,0.0138
A2R001Q01,90240,13/07/2005,7.838,42.895,1.506,0.034,0.268,0.4829,0.0149
A2R001Q01,90240,13/07/2005,7.895,43.94,1.525,0.025,0.272,0.4925,0.0151
A2R001Q01,90240,13/07/2005,7.81,45.534,1.517,0.037,0.284,0.5029,0.0158
A2R001Q01,90240,13/07/2005,7.827,42.875,1.4,0.019,0.258,0.495,0.0143
A2R001Q01,90240,13/07/2005,7.879,43.483,1.557,0.032,0.282,0.4978,0.0157
A2R001Q01,90240,27/07/2005,7.945,43.293,1.607,0.031,0.052,0.5824,0.0029
A2R001Q01,90240,27/07/2005,7.837,43.885,1.748,0.028,0.06,0.4404,0.0033
A2R001Q01,90240,27/07/2005,7.985,46.248,1.588,0.025,0.049,0.3748,0.0027
A2R001Q01,90240,27/07/2005,7.967,44.678,1.588,0.026,0.044,0.4696,0.0024
A2R001Q01,90240,27/07/2005,7.809,46.287,1.587,0.021,0.047,0.4881,0.0026
A2R001Q01,90240,27/07/2005,7.632,46.053,1.581,0.024,0.057,0.4667,0.0032
A2R001Q01,90240,27/07/2005,7.52,45.138,1.661,0.02,0.075,0.4931,0.0042
A2R001Q01,90240,27/07/2005,8.123,44.921,1.724,0.051,0.29,0.4651,0.0161
A2R001Q01,90240,08/08/2005,8.042,42.885,1.628,0.015,0.051,0.5882,0.0028
A2R001Q01,90240,08/08/2005,8.121,42.932,1.645,0.018,0.061,0.5317,0.0034
A2R001Q01,90240,08/08/2005,8.036,42.067,1.678,0.028,0.082,0.5643,0.0046
A2R001Q01,90240,08/08/2005,8.036,42.267,1.657,0.017,0.077,0.5778,0.0043
A2R001Q01,90240,08/08/2005,8.055,42.332,1.619,0.015,0.095,0.5524,0.0053
A2R001Q01,90240,08/08/2005,8.142,42.684,1.708,0.016,0.1,0.5531,0.0056
A2R001Q01,90240,08/08/2005,8.012,42.811,1.984,0.022,0.02,0.5689,0.0011
A2R001Q01,90240,08/08/2005,8.029,44.638,2.436,0.054,0.02,0.5245,0.0011
A2R001Q01,90240,24/08/2005,8.179,44.345,1.867,0.042,0.202,0.4906,0.0112
